non-malicious ไม่เป็นอันตราย
malicious เป็นอันตราย
furthermore นอกจากนี้
adequate เพียงพอ
confidentiality ความเป็นส่วนตัวของข้อมูล
integrity ความถูกต้อง
conversely โดยตรงกันข้าม
degraded ประสิทธิภาพลดลง
accomplished สำเร็จลุล่วง
involves ที่เกียวข้อง
against ต่อต้าน
victim เหยื่อ
devastating-twist หายนะ
assailant-marshals เจ้าหน้าที่จู่โจม
typical เป็นตัวอย่าง
intentional โดยเจตนา
demonstrations การเดินขบวน
bombarded ระดมยิง
parliament รัฐสภา
pioneered ผู้บุกเบิก
denial-of-service การปฏิเสธการบริการ
attempt พยายาม
preserved เก็บรักษา
insufficient ขาดแคลน
suspicious สงสัย
sporadic ประปราย
spontaneous โดยธรรมชาติ
applying นำมาใช้งาน
popularity ความนิยม
humanitarian-assistance การช่วยเหลือด้านมนุษยธรรม
disaster-relief บรรเทาภัยพิบัติ
concern กังวล,เกี่ยวข้อง
sampling-strategy วิธีการสุ่มตัวอย่าง
via ผ่านทาง
extract แยกออก
consisting-of ซึ่งประกอบด้วย
explicitly อย่างชัดเจน
appliance อุปกรณ์
Alternatively อีกทางเลือกหนึ่ง
allocation การจัดสรร
evasive ซึ่งหลีกเลี่ยง
ironically กระทบกระเทียบ
volumetric ปริมาตร
simply อย่างง่ายๆ
saturate ทำให้เต็ม
exhaust ทำให้หมด
seeks พยายาม,เสาะหา
illustrate ยกตัวอย่าง,แสดง
necessary จำเป็น
existing ที่มีอยู่
abstracted บทคัดย่อ
actual ที่จริง
